anio,provincia,destino,region_destino,valor_musd,total_provincia_musd,participacion_pct,var_interanual_pct,decada,ranking_destino,es_top3,rubro_principal,pp_participacion_pct
1993,Chaco,Resto,Otros,56.6,152.62,37.09,,1990s,1,True,MOA,36.71
1993,Chaco,Italia,Europa,29.28,152.62,19.18,,1990s,2,True,MOA,36.71
1993,Chaco,Brasil,Mercosur,27.96,152.62,18.32,,1990s,3,True,MOA,36.71
1993,Chaco,Estados Unidos,América del Norte,16.81,152.62,11.01,,1990s,4,False,MOA,36.71
1993,Chaco,México,América Latina,7.82,152.62,5.12,,1990s,5,False,MOA,36.71
1993,Chaco,España,Europa,5.69,152.62,3.73,,1990s,6,False,MOA,36.71
1993,Chaco,Chile,América Latina,4.39,152.62,2.88,,1990s,7,False,MOA,36.71
1993,Chaco,Colombia,América Latina,2.64,152.62,1.73,,1990s,8,False,MOA,36.71
1993,Chaco,Indonesia,Asia,0.81,152.62,0.53,,1990s,9,False,MOA,36.71
1993,Chaco,China,Asia,0.31,152.62,0.2,,1990s,10,False,MOA,36.71
1993,Chaco,Egipto,África,0.31,152.62,0.2,,1990s,11,False,MOA,36.71
1994,Chaco,Resto,Otros,78.23,246.21,31.77,38.22,1990s,1,True,Productos primarios,63.97
1994,Chaco,Brasil,Mercosur,74.72,246.21,30.35,167.24,1990s,2,True,Productos primarios,63.97
1994,Chaco,Italia,Europa,29.4,246.21,11.94,0.41,1990s,3,True,Productos primarios,63.97
1994,Chaco,China,Asia,15.28,246.21,6.21,4829.03,1990s,4,False,Productos primarios,63.97
1994,Chaco,Estados Unidos,América del Norte,12.26,246.21,4.98,-27.07,1990s,5,False,Productos primarios,63.97
1994,Chaco,Colombia,América Latina,11.25,246.21,4.57,326.14,1990s,6,False,Productos primarios,63.97
1994,Chaco,Chile,América Latina,9.9,246.21,4.02,125.51,1990s,7,False,Productos primarios,63.97
1994,Chaco,México,América Latina,6.58,246.21,2.67,-15.86,1990s,8,False,Productos primarios,63.97
1994,Chaco,España,Europa,6.22,246.21,2.53,9.31,1990s,9,False,Productos primarios,63.97
1994,Chaco,Indonesia,Asia,2.01,246.21,0.82,148.15,1990s,10,False,Productos primarios,63.97
1994,Chaco,Egipto,África,0.37,246.21,0.15,19.35,1990s,11,False,Productos primarios,63.97
1995,Chaco,Resto,Otros,189.54,389.41,48.67,142.29,1990s,1,True,Productos primarios,80.42
1995,Chaco,Brasil,Mercosur,58.53,389.41,15.03,-21.67,1990s,2,True,Productos primarios,80.42
1995,Chaco,Italia,Europa,30.84,389.41,7.92,4.9,1990s,3,True,Productos primarios,80.42
1995,Chaco,Chile,América Latina,19.22,389.41,4.94,94.14,1990s,4,False,Productos primarios,80.42
1995,Chaco,Indonesia,Asia,18.72,389.41,4.81,831.34,1990s,5,False,Productos primarios,80.42
1995,Chaco,Colombia,América Latina,18.29,389.41,4.7,62.58,1990s,6,False,Productos primarios,80.42
1995,Chaco,China,Asia,17.8,389.41,4.57,16.49,1990s,7,False,Productos primarios,80.42
1995,Chaco,España,Europa,17.46,389.41,4.48,180.71,1990s,8,False,Productos primarios,80.42
1995,Chaco,Estados Unidos,América del Norte,12.4,389.41,3.18,1.14,1990s,9,False,Productos primarios,80.42
1995,Chaco,México,América Latina,6.13,389.41,1.57,-6.84,1990s,10,False,Productos primarios,80.42
1995,Chaco,Egipto,África,0.48,389.41,0.12,29.73,1990s,11,False,Productos primarios,80.42
1996,Chaco,Resto,Otros,151.19,427.19,35.39,-20.23,1990s,1,True,Productos primarios,88.16
1996,Chaco,Brasil,Mercosur,129.49,427.19,30.31,121.24,1990s,2,True,Productos primarios,88.16
1996,Chaco,Estados Unidos,América del Norte,53.19,427.19,12.45,328.95,1990s,3,True,Productos primarios,88.16
1996,Chaco,Chile,América Latina,21.37,427.19,5.0,11.19,1990s,4,False,Productos primarios,88.16
1996,Chaco,Indonesia,Asia,17.24,427.19,4.04,-7.91,1990s,5,False,Productos primarios,88.16
1996,Chaco,Colombia,América Latina,11.75,427.19,2.75,-35.76,1990s,6,False,Productos primarios,88.16
1996,Chaco,Italia,Europa,11.46,427.19,2.68,-62.84,1990s,7,False,Productos primarios,88.16
1996,Chaco,México,América Latina,11.1,427.19,2.6,81.08,1990s,8,False,Productos primarios,88.16
1996,Chaco,China,Asia,10.73,427.19,2.51,-39.72,1990s,9,False,Productos primarios,88.16
1996,Chaco,España,Europa,7.35,427.19,1.72,-57.9,1990s,10,False,Productos primarios,88.16
1996,Chaco,Egipto,África,2.31,427.19,0.54,381.25,1990s,11,False,Productos primarios,88.16
1997,Chaco,Brasil,Mercosur,165.77,320.53,51.72,28.02,1990s,1,True,Productos primarios,80.62
1997,Chaco,Resto,Otros,76.26,320.53,23.79,-49.56,1990s,2,True,Productos primarios,80.62
1997,Chaco,Chile,América Latina,25.64,320.53,8.0,19.98,1990s,3,True,Productos primarios,80.62
1997,Chaco,Italia,Europa,17.78,320.53,5.55,55.15,1990s,4,False,Productos primarios,80.62
1997,Chaco,España,Europa,7.74,320.53,2.41,5.31,1990s,5,False,Productos primarios,80.62
1997,Chaco,México,América Latina,7.47,320.53,2.33,-32.7,1990s,6,False,Productos primarios,80.62
1997,Chaco,Colombia,América Latina,6.31,320.53,1.97,-46.3,1990s,7,False,Productos primarios,80.62
1997,Chaco,Estados Unidos,América del Norte,5.01,320.53,1.56,-90.58,1990s,8,False,Productos primarios,80.62
1997,Chaco,Indonesia,Asia,4.28,320.53,1.34,-75.17,1990s,9,False,Productos primarios,80.62
1997,Chaco,Egipto,África,2.99,320.53,0.93,29.44,1990s,10,False,Productos primarios,80.62
1997,Chaco,China,Asia,1.27,320.53,0.4,-88.16,1990s,11,False,Productos primarios,80.62
1998,Chaco,Brasil,Mercosur,77.94,213.88,36.44,-52.98,1990s,1,True,Productos primarios,74.34
1998,Chaco,Resto,Otros,69.33,213.88,32.42,-9.09,1990s,2,True,Productos primarios,74.34
1998,Chaco,Italia,Europa,20.33,213.88,9.51,14.34,1990s,3,True,Productos primarios,74.34
1998,Chaco,Chile,América Latina,14.21,213.88,6.64,-44.58,1990s,4,False,Productos primarios,74.34
1998,Chaco,México,América Latina,8.7,213.88,4.07,16.47,1990s,5,False,Productos primarios,74.34
1998,Chaco,Estados Unidos,América del Norte,5.23,213.88,2.45,4.39,1990s,6,False,Productos primarios,74.34
1998,Chaco,España,Europa,5.04,213.88,2.36,-34.88,1990s,7,False,Productos primarios,74.34
1998,Chaco,China,Asia,4.85,213.88,2.27,281.89,1990s,8,False,Productos primarios,74.34
1998,Chaco,Colombia,América Latina,4.41,213.88,2.06,-30.11,1990s,9,False,Productos primarios,74.34
1998,Chaco,Indonesia,Asia,2.32,213.88,1.08,-45.79,1990s,10,False,Productos primarios,74.34
1998,Chaco,Egipto,África,1.54,213.88,0.72,-48.49,1990s,11,False,Productos primarios,74.34
1999,Chaco,Resto,Otros,81.56,216.21,37.72,17.64,1990s,1,True,Productos primarios,78.51
1999,Chaco,Brasil,Mercosur,67.05,216.21,31.01,-13.97,1990s,2,True,Productos primarios,78.51
1999,Chaco,Italia,Europa,12.85,216.21,5.94,-36.79,1990s,3,True,Productos primarios,78.51
1999,Chaco,España,Europa,12.33,216.21,5.7,144.64,1990s,4,False,Productos primarios,78.51
1999,Chaco,Chile,América Latina,11.48,216.21,5.31,-19.21,1990s,5,False,Productos primarios,78.51
1999,Chaco,México,América Latina,8.45,216.21,3.91,-2.87,1990s,6,False,Productos primarios,78.51
1999,Chaco,China,Asia,7.56,216.21,3.5,55.88,1990s,7,False,Productos primarios,78.51
1999,Chaco,Estados Unidos,América del Norte,7.23,216.21,3.34,38.24,1990s,8,False,Productos primarios,78.51
1999,Chaco,Indonesia,Asia,3.67,216.21,1.7,58.19,1990s,9,False,Productos primarios,78.51
